IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.217.164.10,4,4,0.00,17.67,0.00
47.243.118.63,4,4,0.00,18.73,0.00
34.96.173.94,4,4,0.00,18.82,0.00
47.76.166.54,4,4,0.00,19.10,0.00
47.242.68.32,4,4,0.00,19.31,0.00
47.243.167.47,4,4,0.00,19.39,0.00
101.32.192.209,4,4,0.00,19.55,0.00
47.243.118.63,4,4,0.00,19.55,0.00
8.210.245.224,4,4,0.00,19.60,0.00
47.240.51.188,4,4,0.00,19.80,0.00
